"Number of qubits","Article Title","Link","Year","Platform","Notes"
"2","Experimental Demonstration of a Controlled-NOT Quantum Gate","https://arxiv.org/abs/quant-ph/9806012","1998","Ion traps",""
"4","Experimental Entanglement of Four Particles","https://www.nature.com/articles/35005011","2000","Ion traps",""
"14","14-qubit entanglement: creation and coherence","https://arxiv.org/abs/1009.6126","2011","Ion traps",""
"20","Observation of Entangled States of a Fully Controlled 20-Qubit System","https://arxiv.org/abs/1711.11092","2017","Ion traps",""
"100","Controlling two-dimensional Coulomb crystals of more than 100 ions in a monolithic radio-frequency trap","https://arxiv.org/abs/2302.00565","2023","Ion traps",""
"2","Entanglement of two individual neutral atoms using Rydberg blockade","https://arxiv.org/abs/0908.0454","2010","Neutral atoms",""
"50","An atom-by-atom assembler of defect-free arbitrary 2d atomic arrays","https://arxiv.org/abs/1607.03042","2016","Neutral atoms",""
"51","Probing many-body dynamics on a 51-atom quantum simulator","https://arxiv.org/abs/1707.04344","2017","Neutral atoms",""
"111","Defect-free assembly of 2D clusters of more than 100 single-atom quantum systems","https://arxiv.org/abs/1902.00284","2019","Neutral atoms",""
"256","Quantum Phases of Matter on a 256-Atom Programmable Quantum Simulator","https://arxiv.org/abs/2012.12281","2021","Neutral atoms",""
"324","In-situ equalization of single-atom loading in large-scale optical tweezers arrays","https://arxiv.org/abs/2207.06500","2022","Neutral atoms",""
"2","Measurement of the Entanglement of Two Superconducting Qubits via State Tomography","https://www.science.org/doi/10.1126/science.1130886","2006","Superconducting circuit",""
"5","Superconducting quantum circuits at the surface code threshold for fault tolerance","https://www.nature.com/articles/nature13171","2014","Superconducting circuit",""
"53","Quantum supremacy using a programmable superconducting processor","https://www.nature.com/articles/s41586-019-1666-5","2019","Superconducting circuit",""
"127","Evidence for the utility of quantum computing before fault tolerance","https://www.nature.com/articles/s41586-023-06096-3","2023","Superconducting circuit",""
"2","A programmable two-qubit quantum processor in silicon","https://arxiv.org/abs/1708.04214","2018","Semiconductor spins",""
"6","Universal control of a six-qubit quantum processor in silicon","https://arxiv.org/abs/2202.09252","2022","Semiconductor spins",""
"6100","A tweezer array with 6100 highly coherent atomic qubits","https://arxiv.org/abs/2403.12021","2024","Neutral atoms","Not rearranged"
"3","Implementing a strand of a scalable fault-tolerant quantum computing fabric","https://doi.org/10.1038/ncomms5015","2013","Superconducting circuit",""
"2024","AI-Enabled Rapid Assembly of Thousands of Defect-Free Neutral Atom Arrays with Constant-time-overhead","https://doi.org/10.48550/arXiv.2412.14647","2024","Neutral atoms","Defect-free 2D and 3D atom arrays"
"2088","Rearrangement of individual atoms in a 2000-site optical-tweezer array at cryogenic temperatures","https://doi.org/10.1103/PhysRevApplied.22.024073","2024","Neutral atoms","Cryogenic environment at 6K"
"10","A Ten-Qubit Solid-State Spin Register with Quantum Memory up to One Minute","https://doi.org/10.1103/PhysRevX.9.031045","2019","NV centers",""
