"Link","Research Group","Institutions","Org Type","Country","Source"
"https://arxiv.org/abs/quant-ph/9802018","Los Alamos / MIT","Massachusetts Institute of Technology; Harvard–MIT Division of Health Sciences and Technology; Bruker (United States); Los Alamos National Laboratory; Harvard University","mixed","US","openalex"
"https://jubarreiro.physics.ucsd.edu/files/Schindler-Science-332-1059-1061.pdf","Innsbruck (Blatt)","Universität Innsbruck; Austrian Academy of Sciences; Institute for Quantum Optics and Quantum Information Innsbruck","academic","AT","openalex"
"https://arxiv.org/abs/1108.4842","IQC Waterloo","University of Waterloo; Perimeter Institute","academic","CA","openalex"
"https://arxiv.org/abs/1109.4821","IQC Waterloo","University of Waterloo; Institute for Quantum Computing; Perimeter Institute for Theoretical Physics","academic","CA","manual"
"https://arxiv.org/abs/1109.4948","Yale (Schoelkopf)","Yale University; Delft University of Technology","academic","US","openalex"
"https://arxiv.org/abs/1411.7403","UCSB / Google","University of California, Santa Barbara; Centre for Quantum Computation and Communication Technology","academic","US","openalex"
"https://arxiv.org/abs/1309.6424","Delft (Hanson)","University of Stuttgart; Technical University of Munich; Japan Atomic Energy Agency; University of Tsukuba; University of Science and Technology of China; Hefei National Center for Physical Sciences at Nanoscale; Max Planck Institute for Solid State Research","academic","DE","openalex"
"https://arxiv.org/abs/1411.5542","Delft (DiCarlo)","QuTech; Delft University of Technology; Leiden University; Huygens Institute for History and Culture of the Netherlands; VTT Technical Research Centre of Finland; Aalto University","academic","NL","openalex"
"https://arxiv.org/abs/1508.01388","Yale (Schoelkopf)","QuTech; Delft University of Technology; Element Six (United Kingdom)","mixed","NL","openalex"
"https://arxiv.org/abs/1709.00990","IBM Research","University of Basel","academic","CH","openalex"
"https://arxiv.org/abs/2004.11037","Google Quantum AI","","industry","","openalex-noaff"
"https://arxiv.org/abs/2102.06132","Google Quantum AI","","industry","","openalex-noaff"
"https://arxiv.org/abs/2207.06431","Google Quantum AI","Google (United States); Columbia University; University of Massachusetts Amherst; Auburn University; Centre for Quantum Computation and Communication Technology; California Institute of Technology; University of California, Riverside; Research Institute for Advanced Computer Science; Ames Research Center","industry","US","openalex"
"https://arxiv.org/abs/2409.13025","Amazon (AWS)","","industry","","openalex-noaff"
"https://arxiv.org/abs/2408.13687","Google Quantum AI","Google (United States); Princeton University; University of Massachusetts Amherst; Google DeepMind (United Kingdom); Google (United Kingdom); University of California, Santa Barbara; University of Connecticut; Auburn University","industry","US","openalex"
"https://arxiv.org/abs/quant-ph/0101034","Los Alamos / MIT","Los Alamos National Laboratory","academic","US","openalex"
"https://arxiv.org/abs/1208.4797","IQC Waterloo","TU Dortmund University; University of Waterloo; Perimeter Institute","academic","DE","openalex"
"https://arxiv.org/abs/1907.04507","IBM Research","University of Science and Technology of China; Hefei National Center for Physical Sciences at Nanoscale; CAS Key Laboratory of Urban Pollutant Conversion; University of Oxford; Tsinghua University","academic","CN","openalex"
"https://arxiv.org/abs/1404.5498","University of Bristol","University of Bristol; Centre for Quantum Technologies; National University of Singapore; Université Bourgogne Franche-Comté; National Institute for Theoretical Physics; University of KwaZulu-Natal; Télécom Paris; Centre National de la Recherche Scientifique; Laboratoire Traitement et Communication de l’Information; University of Bath","academic","FR","openalex"
"https://arxiv.org/abs/1912.09410","ETH Zurich","ETH Zurich","academic","CH","openalex"
"https://arxiv.org/abs/2112.03708","ETH Zurich","ETH Zurich; Université de Sherbrooke; Institut quantique; Delft University of Technology; Forschungszentrum Jülich; RWTH Aachen University; Canadian Institute for Advanced Research","academic","CH","openalex"
"https://arxiv.org/abs/2112.03923","Harvard / QuEra","Harvard University; QuEra Computing (United States); Austrian Academy of Sciences; Universität Innsbruck; Massachusetts Institute of Technology; Harvard University Press","mixed","US","openalex"
"https://arxiv.org/abs/2312.03982","Harvard / QuEra","Harvard University; QuEra Computing (United States); Joint Center for Quantum Information and Computer Science; University of Maryland, College Park; Massachusetts Institute of Technology","mixed","US","openalex"
"https://arxiv.org/abs/1403.5426","Innsbruck (Blatt)","","academic","","openalex-noaff"
"https://arxiv.org/abs/1705.09259","IBM Research","","industry","","openalex-noaff"
"https://arxiv.org/abs/1611.06946","Maryland (Monroe)","Joint Quantum Institute; University of Maryland, College Park; Georgia Institute of Technology; IonQ (United States)","mixed","US","openalex"
"https://www.nature.com/articles/ncomms7979","IBM Research","IBM Research - Thomas J. Watson Research Center; IBM (United States)","industry","US","openalex"
"https://www.nature.com/articles/s41534-019-0185-4","ETH Zurich","ETH Zurich","academic","CH","openalex"
"https://arxiv.org/abs/1905.12731","Delft (DiCarlo)","QuTech; Delft University of Technology; Leiden University; Netherlands Organisation for Applied Scientific Research","academic","NL","openalex"
"https://arxiv.org/abs/2009.11482","Maryland / Duke / IonQ","","mixed","","openalex-noaff"
"https://arxiv.org/abs/2009.06242","USTC","University of Science and Technology of China; Chinese Academy of Sciences; Hefei National Center for Physical Sciences at Nanoscale; University of Vienna; Austrian Academy of Sciences; Vienna Center for Quantum Science and Technology; The University of Osaka; National Institute of Informatics; NTT Basic Research Laboratories","academic","CN","openalex"
"https://arxiv.org/abs/2411.11822","Microsoft / QuEra","","industry","","openalex-noaff"
"https://arxiv.org/abs/1709.01866","Durham / Sheffield","Durham University","academic","GB","openalex"
"https://arxiv.org/abs/1705.08957","IBM Research","RWTH Aachen University","academic","DE","openalex"
"https://arxiv.org/abs/1805.05227","IBM Research","Forschungszentrum Jülich; RWTH Aachen University; University of Groningen","academic","DE","openalex"
"https://arxiv.org/abs/1806.02359","IBM Research","The University of Sydney; ARC Centre of Excellence for Engineered Quantum Systems; Yale University","academic","AU","openalex"
"https://ieeexplore.ieee.org/document/9171796","Indian Institute of Technology Kharagpur","Indian Institute of Technology Kharagpur","academic","IN","openalex"
"https://arxiv.org/abs/1910.00129","IBM Research","","industry","","openalex-noaff"
"https://arxiv.org/abs/2112.04076","Southampton","University of Southampton","academic","GB","openalex"
"https://arxiv.org/abs/2206.07907","","","","","openalex-noaff"
"https://arxiv.org/abs/2012.08927","USTC","University of Science and Technology of China; Hefei University of Technology","academic","CN","openalex"
"https://arxiv.org/abs/2305.13581","IBM Quantum","IBM Research - Almaden; IBM Research - Thomas J. Watson Research Center; IBM (Germany); IBM Research - Zurich; IBM (Denmark)","industry","US","openalex"
"https://arxiv.org/abs/2409.05835","Microsoft","","industry","","openalex-noaff"
"https://arxiv.org/abs/2412.07670","Atom Computing","University of Chicago; Nvidia (United States); University of Wisconsin–Madison","mixed","US","openalex"
"https://arxiv.org/abs/2412.15165","Harvard / QuEra","QuEra Computing (United States); Massachusetts Institute of Technology; Harvard University","industry","US","openalex"
"https://arxiv.org/abs/2412.14256","Google Quantum AI","","industry","","openalex-noaff"
"https://arxiv.org/abs/2412.14360","Google Quantum AI","","industry","","openalex-noaff"
"https://doi.org/10.1038/nature03074","NIST","National Institute of Standards and Technology; Max Planck Institute of Quantum Optics; University of Otago","academic","US","openalex"
"https://doi.org/10.48550/arXiv.2509.25326","Quantinuum","","industry","","openalex-noaff"
"https://doi.org/10.48550/arXiv.2512.13908","Google Quantum AI","","industry","","openalex-noaff"
"https://www.nature.com/articles/s41586-026-10628-y","Microsoft / Quantinuum","Microsoft (United States)","industry","US","openalex"
"https://doi.org/10.1038/nature05146","NIST","National Institute of Standards and Technology","academic","US","openalex"
"https://doi.org/10.1103/PhysRevX.11.041058","Honeywell (United States)","Honeywell (United States); Google (United States)","industry","US","openalex"
"https://doi.org/10.1038/s41586-022-04721-1","Universität Innsbruck","Universität Innsbruck; Forschungszentrum Jülich; RWTH Aachen University; Alpine Quantum Technologies (Austria); Austrian Academy of Sciences","mixed","AT","openalex"
"https://doi.org/10.1038/s41567-024-02727-2","Universität Innsbruck","Universität Innsbruck; Forschungszentrum Jülich; RWTH Aachen University","academic","AT","openalex"
"https://doi.org/10.1038/s41586-021-03928-y","Joint Center for Quantum Information and Computer Science","Joint Center for Quantum Information and Computer Science; IonQ (United States); Joint Quantum Institute; University of Maryland, College Park; Google (United States); Duke University; Georgia Institute of Technology","industry","US","openalex"
"https://doi.org/10.1038/s41567-021-01423-9","QuTech","QuTech; Delft University of Technology; Netherlands Organisation for Applied Scientific Research; Forschungszentrum Jülich","academic","NL","openalex"
"https://doi.org/10.1038/s41586-023-06846-3","IBM Research - Almaden","IBM Research - Almaden; IBM Research - Thomas J. Watson Research Center; IBM (Germany); IBM Research - Zurich; IBM (United States); IBM (Denmark)","industry","US","openalex"
"https://doi.org/10.1103/PhysRevLett.131.210603","USTC","University of Science and Technology of China; Hefei National Center for Physical Sciences at Nanoscale; Beijing Academy of Quantum Information Sciences","academic","CN","openalex"
"https://arxiv.org/abs/2412.01446","The University of Melbourne","The University of Melbourne; CSIRO Manufacturing; Commonwealth Scientific and Industrial Research Organisation; Data61","academic","AU","openalex"
"https://doi.org/10.48550/arXiv.2506.14169","University of California System","University of California System; University of California, Davis; Sandia National Laboratories","academic","US","openalex"
"https://arxiv.org/abs/quant-ph/9806012","NIST","National Institute of Standards and Technology","academic","US","openalex"
"https://www.nature.com/articles/35005011","NIST","National Institute of Standards and Technology; Information Technology Laboratory; Optics Technology (United States)","mixed","US","openalex"
"https://www.nature.com/articles/35057215","NIST","National Institute of Standards and Technology; University of Michigan","academic","US","openalex"
"https://www.nature.com/articles/nature01492","NIST","National Institute of Standards and Technology; University of Oxford; Institute of Physics Belgrade","academic","US","openalex"
"https://arxiv.org/abs/0803.2798","Austrian Academy of Sciences","Austrian Academy of Sciences; Universität Innsbruck; Institute for Quantum Optics and Quantum Information Innsbruck","academic","AT","openalex"
"https://arxiv.org/abs/1512.04600","University of Oxford","University of Oxford","academic","GB","openalex"
"https://arxiv.org/abs/1604.00032","","","","","openalex-noaff"
"https://www.science.org/doi/10.1126/science.1130886","UCSB","University of California, Santa Barbara","academic","US","openalex"
"https://arxiv.org/abs/0903.2030","Yale","Yale University; University of Waterloo; TU Wien; Université de Sherbrooke","academic","US","openalex"
"https://arxiv.org/abs/1202.5344","","","","","openalex-noaff"
"https://arxiv.org/abs/1402.4848","","","","","openalex-noaff"
"https://arxiv.org/abs/1603.04821","","","","","openalex-noaff"
"https://arxiv.org/abs/2001.08838","","","","","openalex-noaff"
